Date;Total vehicle dereg;CatA_dereg;CatB_dereg
1990 May;2621;na;157
1990 Jun;2345;na;174
1990 Jul;2286;na;205
1990 Aug;2571;na;211
1990 Sep;2253;na;207
1990 Oct;2687;na;161
1990 Nov;3198;na;164
1990 Dec;2994;na;191
1991 Jan;2803;na;208
1991 Feb;2080;na;142
1991 Mar;2898;na;239
1991 Apr;2737;na;198
1991 May;2597;na;160
1991 Jun;2623;na;159
1991 Jul;3026;na;227
1991 Aug;2424;na;168
1991 Sep;2620;na;143
1991 Oct;3393;na;211
1991 Nov;2689;na;155
1991 Dec;2837;na;196
1992 Jan;3234;na;214
1992 Feb;3022;na;198
1992 Mar;4511;na;355
1992 Apr;16545;na;1564
1992 May;6049;na;596
1992 Jun;2209;na;139
1992 Jul;2482;na;187
1992 Aug;2345;na;164
1992 Sep;2301;na;199
1992 Oct;2275;na;178
1992 Nov;2867;na;162
1992 Dec;2811;na;229
1993 Jan;2050;na;184
1993 Feb;2853;na;322
1993 Mar;3123;na;324
1993 Apr;2934;na;311
1993 May;2782;na;263
1993 Jun;3028;na;331
1993 Jul;2854;na;290
1993 Aug;2285;na;247
1993 Sep;2497;na;237
1993 Oct;2516;na;234
1993 Nov;2478;na;223
1993 Dec;2974;na;242
1994 Jan;1766;na;178
1994 Feb;2105;na;179
1994 Mar;2701;na;226
1994 Apr;2282;na;169
1994 May;2454;na;230
1994 Jun;2482;na;226
1994 Jul;2284;na;185
1994 Aug;2273;na;200
1994 Sep;2327;na;184
1994 Oct;2156;na;190
1994 Nov;2275;na;177
1994 Dec;2475;na;236
1995 Jan;2516;na;158
1995 Feb;1971;na;157
1995 Mar;2136;na;168
1995 Apr;2042;na;178
1995 May;1811;na;163
1995 Jun;1867;na;143
1995 Jul;1886;na;152
1995 Aug;1345;na;136
1995 Sep;1813;na;145
1995 Oct;1813;na;160
1995 Nov;1764;na;140
1995 Dec;2107;na;162
1996 Jan;1998;na;181
1996 Feb;1447;na;113
1996 Mar;2082;na;211
1996 Apr;1832;na;196
1996 May;1791;na;192
1996 Jun;1869;na;167
1996 Jul;1932;na;206
1996 Aug;1522;na;157
1996 Sep;2010;na;198
1996 Oct;2061;na;203
1996 Nov;1966;na;176
1996 Dec;2475;na;216
1997 Jan;2151;na;208
1997 Feb;1719;na;189
1997 Mar;2766;na;263
1997 Apr;2670;na;263
1997 May;2677;na;271
1997 Jun;2668;na;219
1997 Jul;3066;na;285
1997 Aug;2717;na;244
1997 Sep;3036;na;261
1997 Oct;2758;na;258
1997 Nov;2962;na;269
1997 Dec;3616;na;319
1998 Jan;3434;na;334
1998 Feb;3060;na;382
1998 Mar;4010;na;495
1998 Apr;4587;na;546
1998 May;4184;na;481
1998 Jun;4446;na;608
1998 Jul;4983;na;682
1998 Aug;4711;na;653
1998 Sep;4899;na;644
1998 Oct;5390;na;746
1998 Nov;4958;na;937
1998 Dec;5553;na;891
1999 Jan;5005;na;800
1999 Feb;4116;na;628
1999 Mar;5531;na;974
1999 Apr;4286;na;682
1999 May;4097;na;674
1999 Jun;3890;na;619
1999 Jul;4636;na;695
